FileName	Title	ImprintDate	ID no	Author	NarrForm	Unique	ENDID	Pages	Batch	Paratext?	ENDRecord																																			
Cassem_pr3291_a1_l561787.txt	"The Life of Cassem, the son of Hamid, a noble Arabian.ξTranslated from an Oriental manuscript."	1787	431370	Anon	Third-person	No	431370	49	1		GH																																			
MaryQ_da787_a365_a5_1726.txt	The genuine letters of Mary Queen of Scotts	1726	316107	Anon	Epistolary	No	316107	59	1		GH																																			
Voyage_pr3291_n325_n4_1713.txt	A new voyage to the island of fools	1713	6134731	Anon	Epistolary	No	6134731	66	1		GH																																			
Wilson_ec7_a100_723i.txt	Love-letters between a certain late nobleman and the famous Mr. Wilson :	1723	5427451	Anon	Epistolary	No	5427451	71	1		GH																																			
HenryVIII_da331_h35_l6_1714.txt	Love-letters from King Henry VIII to Anne Boleyn	1714	1812432	"[Hearne, Thomas?]"	Epistolary	No	1812432	72	1		GH																																			
Nazarenes_pr3291_a1_s43_1719.txt	The secret history of the Prince of the Nazarenes and two turks :	1719	1802363	Anon	Part Epistolary	No	1802363	77	1		GH																																			
Unfortunate_pr3291_a1_u54_1739.txt	"The unfortunate dutchess: or, the lucky gamester. A novel, founded on a true story."	1739	380155	Anon	Epistolary	No	380155	87	1		GH																																			
Unnatural_pr3291_a1_u55_1734.txt	"The unnatural mother, or, Innocent love persecuted :"	1734	3887499	Anon	Part Epistolary	No	3887499	121	1		GH																																			
Pacquet_pr3291_a1_p123_1701.txt	"A pacquet from Will's: or, a new collection of original letters on several subjects; containing pleasant memoirs, intrigues and adventures that lately hapned at London, Hampton Court, Tunbridge, Epsom, North Hall and the Bath. With several satyrical characters, both of ladies and gentlemen, in prose and verse; with original letters by King Charles II. and the late Q. of Sweden. Written and collected by several hands."	1701	1813449	Anon	Epistolary	No	1813449	139	1		GH																																			
Perfidious_ec7_a100_702p3.txt	"The perfidious P--- being letters from a nobleman to two ladies, under the borrow'd names of Corydon, Clarinda & Lucina. With the ladies answers."	1702	3451191	Anon	Epistolary	No	3451191	165	1		GH																																			
Brothers_pr3291_a6_p43_1730.txt	"The Brothers, or, Treachery punish'd :"	1730	1807217	Anon	Part Epistolary	No	1807217	179	1		GH																																			
Tick_pr_3291_a1_l683_1724.txt	"Love upon tick: or, implicit gallantry. Exemplified, in some merry memoirs of the rise and progress of an extraordinary and occasional amour. In which the whole mechanism of that passion is expos'd, and made obvious to the meanest capacity."	1724	276081	Anon	Epistolary	No	276081	186	1		GH																																			
